boli,simptome
Exoftalmia,"""proeminentă, ocular, ochi, iris, pleoapă, palpebral, tremor, febră, inocluzie, exoftalmie"""
Extrasistole atriale,"""Palpitație, perceptibil, anxietate, Dispnee, zgomot, cardiace, durere, pectoral"""
Extrasistolele ventriculare,"""gât, compromitere, hemodinamic, puls, jugular, venos"""
Extrofia vezicala,"""perete, anterior, vezică, urinar, detritus, mucopurulent"""
Faringita,"""febră, sec, iritație, durere, la, deglutiție, senzație, de, uscăciune, mucoasă, faringian, corp, faringe, pruri, mâncărime, arsură, criză, faringită, acut, parestezie, cronică, cataral, hipertrofic, hipersecreție, mucos, dilatație, venoate, perete, greață, vărsătură, atrofic, palid, rinită"""
Fasceita eozinofilica,"""cutanat, dizabilitanta, piele, indurare, fibroză, erite, țesut, subiacent, urticari, alopeci, lichen, scleros, atrofic, durere, articulara, matinală, contract, parestezie, sindrom, de, artrita, inflamatorie"""
Fasceita necrozanta,"""durere, sever, febră, indurat, piele, Tegument, stare, toxic, eritem, supraiacent, sensibilitată, Anestezie, regional"""
Fasceita plantara,"""durere, genunchi, degetu, inflamație, plantare"""
Fascioloza hepatică (gălbeaza ficatului) la om,"""durere, hipocondru, drept, hepatomegalie, ficat, inapetență, poftă, mâncare, flatulență, greață, toracic, urticarie, hipereozinofilie, epigastric, pruri, mâncărime, icter, intoleranță, ingestie, lipidă, de, cap, disfagie, surditate"""
Favus,"""piele, erupție, Onicomicoza, eritem, scalp, folicule, infecție, bacterian, placă, glabră, seboreică, roșu, scuamă, alb, leziune, psoriazis, plăci, scuamoate, rotunde"""
Febra (boala) Dengue,"""febră, durere, de, cap, retroorbital, ocular, muscular, articular, greața, Adenopatie, erupție, cutana, cutanat, eritematos, sindrom, febril, maculopapular, ceafă, slăbiciune, Anorexie, Sângerare, gingival, nazal, Hemoragiu, conjunctival, Menoragie, Trombocitopenie, Leucopenie"""
Febra de origine necunoscuta,
Febra de transee,"""febră, meningită, durere, muscular, inten, bacteriemie, persistent"""
Febra galbenă,"""durere, de, cap, muscular, articular, poftă, vărsătură, îngălbenire, piele, ochi, insuficiență, cardiac, hepatic, renal, abdominal, tulburare, coagulare, comă, inimă, aritmie, cu, sânge"""
Febra hemoragica Ebola,"""febra, durere, de, cap, sever, gât, articular, muscular, slăbiciune, poftă, dificultate, vărsătură, sânge, organ, genital, hemoragie, interna, extern, sângerare, gură, erupție, hemoragic, maculo-papular, membru, coagulare, intravascular, diseminat, șoc, greață, hemoragiu, spontan, piele, tract, gastro-intestinal"""
Febra hemoragică Crimeea-Congo,"""durere, muscular, articular, abdominal, greață, nesangvinolent, hipotensiune, bradicardie, erite, urticari, tulburare, de, comportament, confuzie, stare, agresivitate, hemoragiu, conjunctival, sângerare, nazal, epistaxis, hematemeza, vărsătură, cu, sânge, hemoptizie, hepatosplenomegali, tahicardie, slăbiciune, respirație, îngreunat, polinevri"""
Rinita alergică sezonieră (febra fânului),"""obstrucție, nazal, bilateral, congestie, senzație, de, mâncărime, nas, prurit, Lăcrimare, excesiv, ochi, ocular, corp, Iritație, mucoasă, conjunctival, Înfundare, tensiune, ureche, Obstrucție, trompă, durere, Fatigabilita, Insomnie, Iritabilita, Mucoasă, nazală, Polipă"""
Febra hemoragică Marburg,"""greață, vărsătură, durere, toracic, abdominal, insuficiență, hepatic, icter, manifestare, hemoragic, delir, disfuncție, multiplu, de, organ"""
Febra la copil,"""Fatigabilitate, oboseală, Iritabilita, senzație, de, Convulsie, rigiditate, convulsie, Spasmă, al, membru, superior, inferior, infecție, Instabilitate, temperatură, corporal, sepsis, fierbint, tactil, Cianoză, colorație, tegumentară/mucos, anurie, oligurie"""
Febra la sugari,"""letargi, erupție, la, înghițire, tegumentă, Cianoză, perioral, fontanelă, deshidratare, limbă"""
Febra mediteraniana familiala,"""peritonită, pleurită, artri, febră, durere, abdominal, Zgomotă, intestinal, sensibilitate, la, palpare, apendicită, colecistită, renal, Constipație, atac, Pleurezie, acut, Artrita, gleznă, Articulație, cald, eritematos, erupție, cutanat, erizipel, membru, inferior, inflamație, vaginalis, Mialgie, sever, amiloidoză, sindrom, nefrotic, hipertensiune, arterial, boală, inflamatoriu, pelvină, Purpură, Henoch-Schonlein, Behcet"""
Febra musculara,"""durere, mușchi, Spasmă, muscular, dureros, sensibilitată, mișcare, mobilitate, sensibilitate, joncțiune, musculotendinos, generalizat"""
Febra Oroya și veruca peruana,"""durere, de, cap, Anorexie, poftă, mâncare, febră, Diaforeză, alterare, Anemie, sever, muscular, articular, Insomnie, Delir, Purpură, trombocitopenic, manifestare, tegumentare, leziune, vegetant, sesil"""
Febra patata a Muntilor Stancosi,"""febră, durere, de, cap, muscular, Greț, vărsătură, Anorexie, erupție, macular, edem, generalizate, hipovolemie, Azotemie, prerenal, hipotensiune, arterial, Detresă, respiratoriu, sever, Afectare, sistem, nervos, central, confuzie, letargie, Delir, coma, Paralizie, nerv, cranian, Surdita, Amețală, vertij, Nistagmune, Dizartrie, Afazia, gleznă, Spasticita, neurogen, Paraplegie, lichid, cefalorahidian, proteină, insuficiență, renal, hipoperfuzie, transaminază, seric, TGP, bilirubină, abdominal, Trombocitopenie, plachetă, vărsăt, cu, sânge, celulă, mieloid, imatura, C, feritină, fibrinogen, plasmatic, creatinkina, plasmă, Hemoragiu, retinian, Ede, papilar"""
Febra patata meditereneana,"""erupție, cutanat, leziune, necrotic, tegumentare, eritematoate"""
Febra Q (Boala Derrick-Burnet),"""infecție, gripal, pneumonie, Astenie, oboseală, accentuat, severa, Greț, vărsătură, manifestare, neurologic, optică, boală, extrapiramidal, Sindrom, Guillain-Barre, hormon, antidiuretic, ADH, Anemie, hemolitic, Adenopatie, mediastinal, eritem, nodos, Trombocitopenie, trombocitoză, febră, erupție, cutanat, purpuric, insuficiență, renal, cronic, accident, vascular, cerebral, cardiac, lent-progresiv, ficat, Splenomegalie, proteină, C, anticorp, specific"""
Febra recurenta,"""febră, durere, de, cap, muscular, mialgiu, articular, artralgiu, articulație, Greț, vărsătură, vertij, tulburare, al, somn, nocturn, cord, afectare, meningeală, meningism, Fotofobie, Conjunctival, Icter, senzație, accentua, mucoasă, bucal, leziune, membru, Splenomegalie, splină, ficat, palpare, hemoragiu, nazal, agitație, psihomotorie, hipotensiune, Epuizare, criză, ortostatica"""
Febra tifoida,"""durere, abdominal, difuza, sensibilitată, Constipație, usca, Cefalee, frontal, Delir, Splenomegalie, dicrotic, Crepitantă, pulmonar, distensie, sever, galben-verzui, Apatie, confuzie, psihoză, meningită, pneumonie, lobar, acut, Artralgiu, simptom, manifestare, neurologic, delir, parkinsonian"""
Fenilcetonuria la copii,"""Spasmă, muscular, Iritabilita, tulburare, staturo-ponderal, de, pigmentație, ochi, cutanat, dermatită, atopic, Diateză, seboreic, Malformație, osos, infecție, piogenic, cutana, sclerodermie, anomalie, ocular, hipopigmentare, irian, manifestare, extrapiramidal, parkinsonism, Retarde, mental, Dizabilitate, Criză, epilepsie, Microcefalie, radiologic"""
Fenilcetonurie,"""pigmentație, albastru, vărsătură, iritabilita, tulburare, neurologic, retarde, mental, dermatita, cronică"""
Fenomenul Raynaud,"""ischemie, paroxistic, oprire, brutal, insă, tranzitorie, arterial, digital, piele, furnicăt, amorțeală, durere, hiperemie, deget, vasospasm"""
Fenomenul Somogyi,"""Hiperglicemie, matinal, hipoglicemie, nocturn, anxietate"""
Feocromocitomul,"""hipertensiune, arterial, hipotensiune, ortostatic, Tremuri, Paloare, motilitate, gastro-intestinal, Hipersudorație, transpirație, Anxietate/nervozita, durere, abdominal, oboseală, fatigabilitate, greața, Constipație, tulburare, vizual"""
Fibrilatia atriala,"""Palpitație, Fatigabilita, Angina, insuficiență, cardiac, disfuncție, hemodinamic, Tromboembolism, sistemic, Sincopa"""
Fibrilatia ventriculara,"""Midriază, pupă, tensiune, arterial, zgomot, cardiace, prodrom, durere, oboseală, tegumentă"""
Fibroadenom mamar,"""Nedureros, Consistență, elastic, Involua, calcificare, terapie, hormonal, Fibroadenom, bilateral, ciclosporină"""
Fibroelastoza endomiocardică,"""Fatigabilita, Cianoză, unghial, generalizate, dificultate, de, Paloare, tegumentar, Cianoza, extremitățe, regiune, precordial, cord, suflure, sistolic"""
Fibroelastoza pleuro-pulmonară,"""neproductiv, infecție, de, tract, disfuncție, ventilatoriu, mixt, obstructiv, monoxid, carbon"""
Fibrom condromixoid,"""durere, sensibilitate, localiza"""
Fibrom osificant,"""Bombar, os, Tumefiere, local, durere, ușor, osos"""
Fibromialgie,"""durere, oboseala, dificultate, cognitiv, anxietate, depresi, insuportabila, migratoriu, tulburare, al, somn, afectare, memorie, episodic, semantic, hipersensibilitate, regional, precordială, dispepsie, cefalee, crampă, abdominal, pelvină, cronic, sincopa, sindrom, urinar, oboseală, intestin, iritabil, suprapunere, cronice/dismenoree, articulație, temporomandibular, afectiune, posttraumatic, picior, neliniștit, cistită, interstițial, de, modificare, comportament, cu"""
Fibromul ovarian,"""durere, de, severa, crampă, abdominal, torsiune, sindrom, Meigs, distensie, Pilozitate, facil, erupție, acneic, sever, Sângerare, uterin, anormal, sângerare, uterina"""
Fibromul uterin,"""regiune, pelvină, fibroamă, durere, necroză, menstruație, prelungit, fibrom, uterin, inflamație, vaginal, intermitent, scurgere, de, consistență, vaginală, purulent, polipe, Poliurie, vezică, urina, abdominal, colicativ, compresiune, intestinal, Meteorism, Greț, vărsătură, Constipație, Inapetență, tumoral"""
Fibrosarcom,"""durere, țesut, local, Afectare, ambulație, simptom, neurologic, sângerare, gastrointestinal, pelvină, obstrucție, urinar, modificare, vascular"""
Fibrotorax,"""mobilitate, plămân, toracic, Dispnee, compromitere, respiratoriu"""
Fibroza chistica (Mucoviscidoza),"""infecție, pulmonar, recurent, diabe, absență, vas, deferent, piele, ileune, retracție, detresa, respiratorie, sever, polipă, nazal, recurenta, cronică, febră, hipoxemie, hipercapnie, hemoptizia, hipocratism, digital, insuficiență, pancreatic, proteină, distensie, durere, abdominal, flatulență, scaun, gras, prolapge, rectal, pancreatită, ace, reflux, gastroesofagian, invaginație, apendice, sindrom, de, impactare, crampă, obstrucție, intestinal, enzimă, hepatic, pseudotumoră, cerebral, vitamină, hemolitic, complicație, hemoragic, hipoproteinemie, hepatomegali, enteropatica, constipație, hiponatremica/hipocloremica, alkaloză, intoleranță, glucoză, diabet, zahara, cetoacidoza, cetonurie, colelitiază, colesterol, infertilitate, feminin, secundar, mucus, cervical, hipertrofica, artropatie, leziune, nodular, dureros, purpură, osteoporoza"""
Fibroza deltoidului,"""fibră, mușchi, deltoide, Deformare, Emanciere, atrofie, deltoid, fibros, Subluxație, cap, humeral, Dislocare, morfologie, acromial, Rotație, medial, mărgine, nodular, Crampă, muscular, Scolioză, secundar, durere, de, gât"""
Fibroza endomiocardica,"""edem, extremitățe, inferior, afectare, ventricul, greață, Dispnee, dispnei, de, efort, stâng, oboseală, paroxistic, nocturn, stare, acut, febril, insuficiență, cardiac, durere, precordial, angină, ventricular, distensie, venos, Edemă, periferic, venă, jugular, regurgitare, tricuspidian, congestie, pulmonar, boală"""
Fibroza hepatică,"""edem, membru, inferior, greața, Fatigabilita"""
Fibroza hepatică congenitală,"""Fibroză, hepatic, hipertensiune, portal, boală, renal, chistic, durere, abdominal, splină, rinichi, Hemoragia, varică, esofago-gastric, lob, stâng, ficat, neregulat, Hipersplenism, leucopenie, trombocitemie, vărsăt, cu, sânge, nespecific, fosfatază, alcalin, seric, bilirubină, colangită, eritrocit, VSH, disfuncție, creatinină"""
Fibroza pulmonară,"""Astenie, Fatigabilita, neproductiv, durere, muscular, mialgiu, articular, artralgiu, toracic, Subfebrilita, deget, hipocratic, hipocratism, digital, Ral, pulmonar, anxietate, Cianoză, perioral, hipertensiune, Edemă, periferic, ventricular, drept, apendice, xifoid, hipertrofie, ventricul, Turgescență, jugular, disfuncție, reflux, hepato-jugular, de, efort, Hiperventilație"""
Fibroza pulmonară idiopatică,"""de, efort, seacă, hipocratism, digital, fatigabilita, membru, inferior, subfebrilitate, dispnee, hipoxemie"""
Fibroza retroperitoneala (boala Ormond),"""durere, moderat, edem, membră, inferior, Pileflebita, Tromboză, venos, profunda, coapsă, coaapsă, colică, urinar, insuficiență, renal, creatinină, Anemie, normocitar, normocrom, proteină, C, Hipergammaglobulinemie, policlonal, anticorp, antinuclear, Piurie, microscopic"""
Filarioza,"""inflamație, acut, vas, limfatic, limfangită, Astenie, Fatigabilita, regiune, sindrom, de, eozinofilie, pulmonar, tropical, filarioză, cronic, Chilurie, urină, elefantiazis, organ, genital, extern, glandă, mamar, membră, ecografie"""
Filarioza Loa-loa,"""edem, alergic, mâncărime, oculara, durere, hipersensibilitate, fotofobie"""
Fimoza si parafimoza,"""prepuț, patologic, Fimoză, necroză, parafimoză"""
Fistula arterio-venoasa renala,"""hipertensiune, arterial, secundar, insuficiență, cardiac"""
Fistula biliară,"""colorație, galben, piele, scleră, oculare, bilă, fistulă, bilio-bronșic, Acalazie, maldigestie, durere, abdominal, hipocondru, drept, urină, febră, frison, infecție, secundar, cavitate, peritoneal, distensie, ascită, biliar"""
Fistula rectală,"""durere, al, peristaltică, intestinal, abcege, rectal, iritație, piele, sângerare"""
Fistula recto-vaginală,"""vagin, infecție, recurent, tract, urinar, durer, pelvină, piele, anxietate, depresie"""
Fistula traheo-esofagiană,"""Dispnee, distensie, abdominal, de, aspirație, febră, fistulă, malign"""
Fistule ureterovaginale si vezicovaginale,"""urină, infecție, urinar"""
Fistulele digestive,"""durere, leziune, eso-respiratorie, Disfagie, important, Dispnee, abdominal, persistent, aorto-duodenal, Hemoragie, digestiv, pancreatic, febră, infecție, plagă, anal, fistulos"""
Fisura sau fractura de bazin,"""durere, Umflături, instabilitate, hemodinamic"""
Fisurile anale,"""durere, rectal, senzație, de, arsură, mișcare, intestinal, Spas, anal, cu, sânge, pruri"""
Flatulenta,"""sfincter, anal, sulf, hidrogen, durere, abdominal, persistent, distensie, senzație, recurent, Constipație, Incontinență, infecție, febră, vărsătură, artralgiu, mialgiu"""
Flebita superficială,"""venă, superficial, senzație, de, arsură, localiza, edem, membru, durere, temperatură, eritem, cutanat, piele, picior, Echimoză, varicos, sângerare, inflamație, perivasculara, lumen, venos"""
Basici - Flictene,"""cu, lichid, sânge, piele, durere, senzație, de, arsură, Roșeață, eritem, Paloare, infecție, puroi, roșeață, accentuat, crește"""
Fluoroza dentară,"""alb, Afectare, smalt, margine, neregulat, tip"""
Flutter atrial,"""durere, precordial, angină, insuficiență, cardiac, congestiv, ral, edem, oboseală, slăbiciune, generalizate"""
Fobia sociala,"""atac, de, panică, Palpitație, inimă, respirație, dificil, Tremur, mână, greața, anxietate, anticipatoriu, persistenta, performanță"""
Fobiile specifice,"""atac, de, panică, palpitație, respirație, anxietate, anticipatoriu, slăbiciune, dificultate, concentrare, iritabilitate, tulburare, somn, stară, depersonalizare, depresie, vinovăție"""
Foliculita,"""durere, mâncărime, Denivelare, pustular, papul, foliculită, superficial, leziune, stafilococic, pustulă, cicatric, hiperpigmentare, keratoză, pilar, nod, roșu, profundă, Nod, subcutanat, febră, oboseală, buză, barbă, de, cap, eozinofilic"""
Foliculita pruritica de sarcina,"""Papul, eritematoate, Erupție, Foliculită, infecție"""
Foramen ovale patent,"""Cianoza, oprire, respirație, manevră, Valsalva, atac, ischemic, cerebral, migrenă, de, rău, neurologic, sânge, Infarct, miocardic, Embolism, sistemic, infarct, renal"""
Forma pulmonară de histiocitoză cu celule Langerhans,"""sec, durere, toracica, Fatigabilitate, diabet, insipid, poliurie, afectare, hipotalamic, infecție, pulmonar, recurent"""
Fotosensibilitate indusa de medicamente,"""intoleranță, la, urticaria, solar, leziune, cutanat, arsură, exagera, eritem, edem, hiperpigmentare, Fototoxicitate, cronică, Fotoalergie, erupție, acut, veziculizare, lichenificare, descuamare, papul, violacee, anulare, psoreiformă, porphyrie, hipertrichoză, modificare, sclerodermic, pigmentare, decolorare, maroniu, piele, pată, unghial"""
Fractura,"""durere, local, Tumefacție, deformare, regiune, agitație, anxietate, Paloare, șoc"""
Fractura calcaneului,"""durere, mobilizare, tumefacție, echimoza, deformare, regiune, afectare, funcționalitate, picior"""
Fractura claviculei,"""durere, viu, impotență, funcțional, deformare, regiune, edem, Tumefacție, piele"""
Fractura de cap radial,"""sensibilitate, inflamație, echimoza, durere"""
Fractura de coloană,"""durere, membră, slăbiciune, membru, inferior, dificultate"""
Fractura de cot,"""durere, acut, Tumefacție, vârf, mână, sensibilitate, Amorțeala, articulație, mișcare, Amorțeală, degeta, senzație, de, sever, leziune"""
Fractura de gleznă,"""durere, imediat, gleznă, instabilitate, deformare, regiune, amorțeli"""
Fractura de metatarsiene,"""durere, acut, fract, picior, Umflături, dificultate, de, sensibilitate, Deformare, vizibil"""
Fractura de oboseala (fractura de stres),"""durere, picior, sensibilitată, sensibilitate, os"""
Fractura de odontoidă,"""durere, zonă, membră, Disfagie, hematom, retrofaringian, Parestezie, slăbiciune, picior, Disfuncție, neurologic, Mielopatie"""
Fractura de penis,"""durere, înnegrire, echimoză, penis, sânge, corp, cavernos, urină, hematurie"""
Fractura de peroneu,"""durere, picior, Umflăt, Deformare, senzație, de, instabilitate"""
Fractura de stern,"""durere, toracic, mișcare, respirator, insuficiență, respiratoriu, cianoză, mușchi, accesor, stern, anterior, difuza"""
Fractura de șold,"""durere, sever, oasă, coxal, os, șold, inghinala, articulație, rigiditate, local, Echimoză, osos, picior, membru, inferior, leza, spontan, deformare, regiune, impotență, funcțional, echimoză, Crepitație, piele"""
Fractura dentară,"""durere, sensibilitate, temperatură, dentină, mobilitate, dentar, percuție"""
Fractura deschisă,"""durere, viu, mobilizare, tumefiere, local, deformare, regiune, mobilitate, osos, impotență, funcțional, parestezie, sindrom, de, paloare, paralizia"""
Fractura femurală (diafizară),"""durere, puternic, coapde, sânge, membru, mobilitate, fract, coaapsă, Tumefiere, Crepitație, palpare"""
Fractura humerusului,"""durere, local, mobilizare, impotență, funcțional, echimoz, deformare, regiune, crepitație"""
Fractura ischio-pubiană,"""durere, zonă, pelvian, inflamație"""
Fractura în lemn verde,"""durere, mobilizare, edem, al, regiune, Echimoză, deformare"""
Fractura la copii,"""durere, Deformare, osos, Echimoză, sensibilitate, palpare, mobilizare, picior"""
Fractura mandibulară,"""durere, tulburare, ocluzie, dentar, de, sensibilitate, menton, buză, nerv, alveolar, inferior, hematom, echimoză, țesut, mucoasă, oral, Crepitație"""
Fractura piramidei nazale,"""Echimoza, sensibilitate, durere, nas, sângerare, epistaxis, respirație, cu, dificultate, Hemoragiu, nazal, excesiv, piele, instabilitate, Crepitație, Diplopie, orbital, Obstrucție, cale, complicație, tardiv"""
Fractura tibiei,"""durere, viu, mobilizare, tumefiere, local, deformare, regiune, mobilitate, osos, impotență, funcțional, parestezie, sindrom, de, paloare, paralizie"""
Fracturile craniului,"""Echimoză, edem, palpebral, subtemporal, hemotimpan, sânge, Anosmia, Cecitate, unilateral, Încețoșare, vedere, Scotom, central, sectorial, traumatism, orbital, Diplopie, Paralizie, facil, auz, Nistagmune, cefalorahidian, lichid, Exoftalmie, deficit, cerebral, tulburare, de, sensibilitate, Criză, epileptic"""
Fracturile de bazin,"""durere, mobilitate, impotență, funcțional, crepitație, osos, bazin, membru, inferior, vertical, edem, scrotal, fract, compresiune, hemato, perineal, echimoza, hemoragie, rectoragi, leziune, organ, pelvină, hematurie, metroragie, deficit, neurologic, nerv, sciatic, plăgă, cutanat, șoc, hipovolemic, iliac, test"""
Fracturile nasului (traumatismul nazal),"""durere, spontana, palpare, Hemoragie, local, Crepitație, Fragmentare, osos, tulburare, obstrucție, al"""
Fracturile omoplatului,"""durere, local, impotență, funcțional, tumefacție, echimoza"""
Fracturile orbitei,"""durere, echimoză, palpebral, edea, epistaxite, sângerare, nazală, epifora, lăcrimare, ptoza, pleoapă, diplopie, dublu, tulburare, senzitiv, suborbitară, regiune, suborbitar, dinte, superior, emfize, orbitar/palpebral/subcutanat, periocular, nevralgie, de, motilitate, ocular, înfundat, hemoragiu, subconjunctival, hipemă, ochi, ruptură, retinian, sindrom, canal, optic, pierdere, reflex, fotomotor, amauroză, stază, papilar, echimoza, conjunctival, scurgere, nazal, lichid"""
Fracturile radiusului și ulnei,"""durere, viu, local, impotență, funcțional"""
Fracturile rotulei,"""durere, genunchi, deformare, regiune, echimoza"""
Fragilitatea capilară,"""vas, capilar, piele, picior, Sângerare, nazal, epistaxis, sânge, Purpe, purpură"""
Frigiditate,
Furuncul sân,"""Nodulă, inflamat, țesut, mamar, durere, zonă, inflamație, local, sensibilitate, senzație, de, arsură, Hipertermie, tegumentă, învecina, roșietic, scurgere"""
Furunculoza,"""umflatură, durere, sensibilitate, furuncul, febră, infecție, frison, oboseală"""
Furunculul,"""Nod, subcutanat, leziune, piele, Eritematos, durere, febră, infecție, sever, Limfadenopatie, ganglioan"""
Furunculul conductului auditiv extern,"""durere, ureche, sensibilitate, maxilar, febră, greață"""
Furunculul nasului,"""congestie, perinarinara, durere, local, vestibul, nazal, lumen, narinar, arsură, violență, agitație, tulburare, de, somn, Tumefacție, dureros, papulă, exonarinara, nas, Tumefiere, vârf, ulcerație, puroi, gros, Indurație, complicație, intens, ochi, edem, al, pleoapă, Paralizie, nerv, oculomotor"""
Galactoree - Scurgeri mamelonare,"""lapte, ginecomastie, impotenta, disfuncție, erectil, hipofiză, tulburare, vizual, adenom, hipofizar"""
Galactozemie,"""insuficiență, hepatic, tulburare, neurologic, Retarde, mental"""
Gamopatia monoclonala de origine necunoscuta,"""Neuropatie, periferic, proteină, măduvă, hematogen, Bence-Jones, urină, leziune, osos, anemie, hipercalcemie, insuficiență, renal"""
Gangliozidoza generalizată GM1,"""motric, lipsă, de, coordonare, Organomegalie, ficat, splină, Hipotonie, Criză, convulsiv, Convulsie, Deteriorare, vedere, auz, anomalie, scheletic, slăbiciune, membru, inferior, Distonie, rigiditate, vertebral, tulburare, vorbire, demență"""
Gangrena,"""piele, febră, confuzie, durere, muscular, zonă, de, localiza"""
Gangrena dentară,"""septic, țesut, pulpărea, necroză, durere, pulpar"""
Gangrena Fournier,"""durere, intens, genital, sensibilitată, febră, prodromal, edem, al, piele, pruri, eritem, progresiv, Crepitație, subcutana, evidență, porțiune, plăgă, necroză, nervos, aspect, vezic, infecție, șoc, septic"""
Gangrena gazoasă (Mionecroza clostridiană),"""durere, excesiv, teritoriu, țesut, cutana, supraiacent, lucios, muscular, Vezic, hemoragic, bulă, plagă, mușchi, debridare"""
Gastrita acuta,"""greață, vărsătură, anorexi, balonare, durere, abdominal, ace, vărsături, gastric, gastrită, flegmonos, febră, epigastric, senzație, de, arsură, sensibilitate, epigastrica, ameliorata, anemie, oboseală, tegument, palid, letargie, sângerare"""
Gastrita atrofica,"""durere, epigastrica, de, plenitudine, greața, vărsătură, Anemie, Purpura, trombocitopenie, anemie, insuficientă, cardiac, congestiv, Polipă, gastric, pernicios, Afte, al, limbă, cobalamină, malabsorbtie, Ataxie, neurologic, Parestezie, Tremurăt, tulburare, sfincteră, iritabilitate, demență, psihoză, manifestare, sensibilitată, epigastric, Hemoragiu, ocult, intestinal, Tegument, icteric, dispeptic"""
Gastrita cronica,"""durere, epigastrica, senzație, de, plenitudine, greața, vărsătură, emeză, vomă, infecție, acut, gastric, Anemie, megaloblastic, gastrită, autoimun, Purpura, trombocitopenie, insuficiență, cardiac, al, limbă, malabsorbție, tulburare, sfincterian, demență, psihoză, ulcer, sarcoidoză, Strictură, piloric, obstrucție, granulomatos, idiopatic, gastroenterită, eozinofilică, abdominal, îngroșare, boală, grefă, sensibilitată, Tegument, icteric, anemie"""
Gastrita de reflux,"""epigastr, greață, vărsătură, hiperemie, mucoasă, gastric, eroziune, metaplazie, intestinal, congesti, capilară, superficial, edem, al, hiperplazie, foveolar, celulă, musculatură"""
Gastrita indusa de stres,"""vărsătură, cu, sânge, Sângerare, gastric"""
Gastrita limfocitica,
Gastroduodenita,"""letargi, Crampă, epigastric, durere, greața, Constipație, senzație, de, plenitudine, gastric, gură, Eructație, arsură, piele, ochi, mucoasă, icter"""
Gastroenterita,"""apos, greață, voma, durere, abdominal, muscular, articulare, de, cap, apetit, piele, gură, senzație, excesiv, deshidratare, tahicardie, fatigabilitate, stare, confuzional, iritabilita, agitație, scaun, iritabilitate, dezorientare, somnolență, sânge, melenă, vomă, febră"""
Gastroenterita bacteriana,"""vărsătură, greața, mucus, sânge, durere, abdominal, crampă, nonfocală, Borborisment, zgomot, hidroaeric, erite, perianal, Deshidratare, letargie, piele, absent, dezechilibru, electrolitic"""
Gastroenterita cu rotavirus,"""anorexi, apos, sânge, vărsătură, crampă, abdominal, deshidratare, tahicardia, usca, oligurie, diureză, greață, alterare, încercănare, ochi, turgor, piele, zgomot, hidro-aeric, intestinal, letargi"""
Gastroenterita eozinofilica,"""durere, vărsătură, Dispepsie, cu, sînge, Enteropatie, proteină, tranzit, simptom, obstructiv, intestinal, Balonare, periferic, alergie, alimentar, Disfagie, obstrucție, piloric, Crampă, abdominal, greață"""
Gastroenterita virala (Gripa stomacului),"""Anorexie, vărsătură, emeză, vomă, greața, febră, fară, deshidratare, gură, lacrimă, piele, sensibilitată, abdominal"""
Gastropareza,"""greața, vărsătură, senzație, de, sațietate, distensie, abdominal, durere, reflux, gastroesofagian, Ars, pieptu, Regurgitare, acid, gastric, anxietate, depresie, oboseală, cronic, slăbiciune, generalizate"""
Gastropareza diabetica,"""durere, greață, vărsătură, senzație, de, sațietate, balonare, anorexi, reflux, gastroesofagian, crampă, gastric, criză, hiperglicemic, sever, constipație, disfagi, arsură, neuropatie, periferic, alodinie, periferică, hiperalgezie, înțepătură, tremurături, muscular, nocturn, înec, stringere, spasmă, ataxie, autonom, sincop, sinusală, persistent, cardiovascular, hipotensiune, vezical, golire, vezică, urinar, teneasmă, intoleranță, la, căldură, sudomotoriu, salivație, transpirație, cap, trunchi, anhidroza, membru, inferior, diplopie, mononeuropatie, cranian, paralizie, nerv, oculomotor, midriază, facial"""
Gastroschizis (laparoschizis),"""Malformație, perete, abdominal, defect, paraombilical, Herniere, visceră, edem, intestin, lichid, amniotic, intestinal, mișcare, peristaltic, inflamație, tumefiere, sac, viscer, herniat"""
Giardioza (Lambliaza),"""apos, constipație, Crampă, abdominal, Anorexie, greață, vărsătură, febră, durere, scaun, gras, steatoreic, deshidratare, uscat, oboseală, permanent, urticarie, simptom, extra-intestinal"""
Ginecomastia,"""glandă, mamar, Tumefacție, durere, cancer, mamelon, Adenopatie, axilar, modificare, tegumentare"""
Gingivita,"""inflamație, gingie, gingival, papilă, palid, mărire, deformare, placă, bacterian, durere, Ulcerație, țesut, alterare, de, cap, musculare/articular, respirație, urât, halitoză, Pape"""
Gingivita de sarcină,"""Inflamare, țesut, gingival, Gingie, lucios, tumefiat, neted, sângerare, gingivală, Jenă, mobilitate, dentar, abundent"""
Gingivita in scorbut,"""sângerare, leziune, tisular, gingival, halenă, gingie, Gingă, inflama, durere, la, fonație, masticație, dentar, Sideroza, gingivală, Pape, interdentare, interdentar, dințe, Anemie, simptom, Hiperkeratoza, osos, muscular, oboseală"""
Gingivita ulcerativă necrozantă acută,"""distrugere, necroză, papilă, interdentar, gingival, leziune, ulcerativ, mucoasă, gingie, respirație, urât, cap, gât, durere"""
Gingivostomatita,"""febril, respirație, urât, halenă, leziune, cavitate, bucal, ulcerație, sângerare, gingival, durere, tumefacție, limfonodure, regional"""
Glaucom,"""pierdere, vedere, periferic, tulburare, durere, ocular, greață, vărsătură, fotofobie, sensibilitate, glaucom, congenital, epifora, lacrimare, patologic, scurgere, pe, hiperlacrimatie, de, cap, tensiune, unghi, supraorbitar, unilateral, unilaterală, acut, închide, bradicardie, atac, ace, apatie, picior, malign, deschis"""
