Disease,Recommendations
Bradicardia la copii,"Monitorizare (pentru bradicardia sinusală asimptomatică la copii fără antecedente patologice). Manevre terapeutice medicale de urgență (pentru bradicardia cu impact hemodinamic sever). Manevre de resuscitare conform ghidurilor AHA (pentru copii cu bradicardie și șoc). Implantarea stimulatoarelor cardiace (pacemaker) - pentru cazuri selectate (ex. bloc AV grad II/III simptomatic, disfuncție de nod sinusal simptomatică, bloc AV postoperator persistent, bloc AV congenital cu disfuncție ventriculară sau frecvență cardiacă foarte joasă). Electrocardiogramă (EKG). Monitorizare Holter-Ekg (24h). Electrocardiogramă de efort. Ecocardiografie. Studiu electrofiziologic (rar, pentru mecanisme incerte sau aritmii amenințătoare de viață)."
Bronhopneumonia,"Alimentare corespunzătoare. Hidratare corespunzătoare. Evitarea iritanților respiratori (mirosuri intense, fum de țigară). Repaus. Finalizarea completă a tratamentului antibiotic prescris. Spitalizare (în cazuri severe, la vârstnici, copii sub 2 ani, comorbidități). Reechilibrare hidroelectrolitică (în spital). Complianța terapeutică. Respectarea regulilor de igienă generală (spălarea pe mâini cu apă și săpun). Folosirea echipamentului medical de protecție (măști) la contactul cu pacienți. Vaccinul antipneumococic (discutat cu medicul). Vaccinarea antigripală anuală (discutată cu medicul)."
Bronhopneumonia la copil,"Internare obligatorie. Izolare în incubator sau secția ATI (pentru nou-născuți). Oxigenoterapie. Transfuzii de sânge (când Hb sub 7g/dl). Tratament împotriva meteorismului. Sedare prudentă. Drenaj chirurgical (pentru abces pulmonar și pleurezie). Puncție lombară (în stări grave, pentru excluderea meningitei)."
Bronhopneumopatia cronica obstructiva (BPOC),"Stoparea fumatului. Urmarea intocmai a tratamentului prescris de medic. Mergeti periodic la control medical (cel putin de doua ori pe an). Mergeti la spital sau la medicul dvs. daca respirati tot mai greu. Pastrati curatenia aerului din locuinta. Evitati tot ce va ingreuneaza respiratia (inclusiv fumul de tigara, fumuri, praf, poluare). Pastrati-va conditia fizica. Practicati mersul pe jos (ex. 20 minute zilnic). Faceti in mod regulat exercitii fizice adaptate. Mancati sanatos (fructe, legume, proteine). Evitati stresul. Realizarea testului respirator (spirometrie) pentru diagnostic. Invatarea utilizarii corecte a spray-ului inhalator. Aerisiti frecvent locuinta. Evitati expunerea la fumuri (vopsea, insecticide) in locuinta. Gatiti in apropierea ferestrei deschise. Asigurati ventilatia adecvata la incalzirea cu lemne sau petrol. Ramaneti acasa atunci cand afara aerul este intens poluat sau plin de praf. Invatati si practicati exercitii de respiratie. Mentinerea greutatii ideale (slabiti daca sunteti supraponderal, ingrasati-va daca sunteti subponderal). Adaptarea activitatilor zilnice in caz de BPOC severa (organizare, haine largi, planificare). Nu vorbiti cand mancati, mancati putin si des daca aveti dificultati de respiratie. Odihniti-va dupa ce ati mancat. Planificati-va iesirile in functie de administrarea medicamentelor si starea de sanatate. Evitati aglomeratia. Aveti la indemana numere de urgenta si medicamentele necesare cand iesiti. Consultati medicul inainte de calatorii."
Bronsiectazia,"Masuri fizice pentru curățarea și îngrijirea bronhiilor. Tehnici pentru evitarea acceselor de tuse seacă (mușcarea buzei superioare, evitarea respirațiilor profunde, inspirarea pe nas a aerului cald/umed, expirarea cu buzele lipite). Tehnici pentru stimularea tusei productive (poziții de drenaj postural, masaj vibratoriu). Gimnastică terapeutică (învățarea unor tehnici speciale de respirație forțată). Inhalarea de soluție salină. Tehnici pentru ameliorarea dispneei (respirație cu buzele lipite, poziții corporale speciale). Exerciții de gimnastică medicală pentru întărirea musculaturii respiratorii (antrenament adaptat). Intervenție chirurgicală (rezecția unui segment pulmonar sau lobectomie) - în cazuri localizate sau cu complicații severe, recidivante, nereactive la tratament conservator. Transplant pulmonar bilateral (în cazuri grave, congenitale, unde chirurgia de rezecție nu e posibilă). Renunțarea la fumat. Vaccinare antigripală anuală. Vaccinare antipneumococică (repetată la fiecare trei ani)."
Bronsiolita acuta,"Tratament simptomatic (de elecție). Oxigenoterapie (pentru combaterea hipoxiei, în mediu rece 18-20°C, steril, umidificat). Umidificarea aerului. Asigurarea unei bune hidratări (oral sau parenteral prin perfuzie endo-venoasă - PEV). Corectarea deshidratării. Rehidratare parenterală (PEV cu 60-80 ml/kg/zi lichide, evitând supraîncărcarea vasculară). Poziționarea favorabilă a sugarului (în șezut, la o înclinație de 30-40 grade, torace ușor ridicat, cap în extensie). Evitarea administrării sedativelor (datorită efectului deprimant respirator). Spitalizare în cazuri specifice (vârsta sub 6 luni, insuficiență respiratorie moderată/gravă, hipoxemie sub 60 mmHg, apnee, intoleranță alimentară, lipsa îngrijirii la domiciliu). Majoritatea cazurilor pot fi tratate la domiciliu. Monitorizarea funcțiilor vitale (frecvență respiratorie, saturație oxigen). Monitorizarea echilibrului acido-bazic (gazometrie). Imunoprofilaxie specifică anti-VSR (menționată ca neaccesibilă în România la data articolului)."
Bronșiolita obliterantă,Tratament pe termen lung (6-12 luni) pentru minimizarea recurențelor.
Bronșiolita respiratorie asociată pneumopatiei interstițiale difuze,Întreruperea fumatului (esențială). Vaccinare antigripală. Vaccinare antipneumococică. Reabilitare pulmonară. Oxigenoterapie de lungă durată la domiciliu (în forme avansate).
Bronșita acută,Administrarea vaccinurilor antigripale (profilaxie). Întreruperea fumatului (profilaxie și tratament). Alimentație corespunzătoare bogată în fructe și legume proaspete (profilaxie). Exerciții fizice regulate (profilaxie). Plasarea bolnavului într-o încăpere curată şi aerisită. Asigurarea unei atmosfere calde şi umede. Aport crescut de lichide pentru fluidificarea secrețiilor. Alimentație bogată în vitamine pentru stimularea sistemului imunitar. Internare (în formele severe de boală). Oxigenoterapie (în formele severe de boală).
Bronșita cronică,"Administrarea bronhodilatatoarelor (beta-adrenergice, anticolinergice) sub formă de aerosoli dozați. Corticoterapie (în caz de lipsă de răspuns la bronhodilatatoare sau hiperreactivitate bronșică). Drenaj bronhopulmonar (pentru hipersecreție). Administrarea pe cale inhalatorie a substanțelor mucolitice (sub formă de aerosoli). Ventilație mecanică (indicată în BPOC, sindrom obstructiv sever, insuficiență respiratorie acută). Oprirea permanentă a fumatului. Întreruperea consumului de alcool. Evitarea expunerii la factori alergeni (praf, puf, polen, alergeni alimentari). Evitarea expunerii la factori infecțioși (contact cu persoane bolnave, aglomerații). Vaccinare (antigripală, antipneumococică). Chimioprofilaxie cu antibiotice pe perioada iernii (conform indicației medicale)."
Bruceloza,"Antibioterapie timp de sase saptamani. Interventie chirurgicala (pentru tratamentul endocarditei sau drenajul unui abces paraspinal). Evitarea consumului de produse lactate nepasteurizate. Prepararea corespunzatoare a carnii. Respectarea masurilor de igiena. Purtarea de echipament de protectie (manusi, masca, ochelari) pentru persoanele cu expunere profesionala."
Bruxism - scrâșnitul din dinți,"Tehnici de reducere a stresului (relaxare corporală totală, meditație, exerciții fizice). Terapie psihologică (pentru cazuri mai grave de stres). Purtarea unei gutiere pe timpul nopții (dispozitiv dentar). Terapie comportamentală (dacă bruxismul este considerat un obicei comportamental). Ronțăirea unui morcov înainte de culcare (pentru a ""obosi"" maxilarul). Masaj de relaxare (pentru zile stresante). Consumul unui pahar de lapte sau ceai cald înainte de culcare (pentru zile stresante). Aplicarea unei comprese calde pe mușchii maxilarului (pentru relaxare). Evitarea automedicației."
Bulimia,"psihoterapie (terapie cognitiv-comportamentală - TCC, terapie interpersonală - TIP). consiliere nutrițională și educație alimentară. terapie de grup. terapie familială (mai ales la adolescenți). monitorizare medicală regulată (greutate, electroliți, funcție cardiacă). stabilirea unui plan alimentar regulat, evitarea dietelor restrictive. monitorizarea gândurilor, sentimentelor și factorilor declanșatori. dezvoltarea unor strategii de coping alternative. creșterea stimei de sine. supravegherea meselor și a accesului la baie post-prandial (în cazuri severe sau programe structurate). spitalizare (în caz de complicații medicale severe, risc suicidar, eșec al tratamentului ambulator). tratament chirurgical (doar pentru complicații precum ruptura esofagiană sau gastrică)."
Bulimia nervoasa,Psihoterapie individuală (în special terapia cognitiv-comportamentală). Terapie de grup. Terapie familială. Farmacoterapie (sub supraveghere medicală). Asocierea dintre terapia cognitiv-comportamentală și SSRI. Monitorizarea regulată a nivelurilor serice de electroliți. Consultație la medicul psihiatru.
Bursita,"Repaus. Tratamente bazate pe caldura sau frig (initial aplicare de rece). Ridicarea articulatiei afectate. Aspiratia bursala (diagnostic si/sau terapeutic). Injectii intrabursale cu steroizi sau anestezice locale (daca tratamentul conservativ esueaza). Evitarea imobilizarii prelungite a umarului. Exercitii fizice gradate (dupa imobilizare). Alternarea activitatilor pentru a preveni recurenta. Incetarea sau modificarea activitatii cauzatoare (in leziuni prin uzaj). Interventie chirurgicala (rezervata ca ultima optiune). Excizia chirurgicala a bursei (in bursita cronica sau recurenta). Incizia si drenajul chirurgical. Inlaturarea proeminentelor osoase (chirurgical). Drenaj si debridare (in bursita septica). Aspiratie repetata a bursei (in bursita septica, la 1-3 zile dupa antibiotice). Tratament antibiotic oral (in bursita superficiala septica necomplicata). Tratament antibiotic intravenos (in bursita septica cu simptome sistemice sau la imunocompromisi). Excizia completa a bursei si tesuturilor adiacente + terapie antituberculoasa (in bursita TBC). Drenaj si antibiotice (pentru infectii cu micobacterii atipice). Excizie si antibiotice (Tetraciclina +/- Rifampicina) (pentru bursita cu Brucella)."
Bursita la călcâi,"Reducerea edemului și inflamației. Eliminarea cauzei (ex: schimbarea încălțămintei). Corectarea poziției piciorului în pantof. Utilizarea de pernuțe de spumă sau material moale în spatele sau sub călcâi. Purtarea temporară de pantofi cu spate deschis. Lărgirea pantofilor existenți. Purtarea pantofilor speciali de alergat. Repaus. Limitarea antrenamentelor sau alergatului. Aplicarea de comprese cu gheață (în faza acută). Exerciții de întindere a tendonului ahilean. Injectări locale de corticosteroizi sub ghidaj ecografic (în cazuri severe). Intervenții chirurgicale (în cazuri refractare). Rezecția bursei retrocalcaneene sau subcutanate (chirurgical). Debridarea zonei de inserție tendinoasă (chirurgical). Rezecția proeminențelor osoase locale (chirurgical). Decompresia regiunii retrocalcaneene (chirurgical, pentru Sindromul Haglund). Evitarea pantofilor cu toc 3-6 luni postoperator."
Bursita olecraniană (de cot),"Evitarea activităților care determină creșterea presiunii asupra zonei cotului. Utilizarea unor cotiere pentru cot. Drenarea lichidului prin aspirație cu ac (realizată exclusiv de către medic). Tratament chirurgical (bursectomie) pentru pacienții cu infecții recurente sau la care tratamentele non-chirurgicale nu funcționează. Evaluarea periodică a bursei de către un medic specialist (în cazuri de severitate redusă, fără durere)."
Bursita retrocalcaneană,Evitarea activităților care agravează simptomele. Aplicarea unor comprese reci pe zona afectată. Utilizarea de încălțăminte adecvată. Utilizarea de suport pentru călcâi. Tratament chirurgical (în cazuri rezistente sau complicate). Drenarea chirurgicală a burselor infectate. Drenarea chirurgicală a chistului retrocalcanean.
Bursita subacromială (de umăr),"odihnă. kinetoterapie (terapie fizică). tratament chirurgical (bursectomie - eliminarea bursei, prin abord deschis sau artroscopic) - în cazurile recurente sau cronice care nu răspund la tratamentul conservator."
Calcificarea aortică,"Monitorizare medicală regulată. Modificări ale stilului de viață. Intervenție chirurgicală (în cazuri severe). Înlocuirea valvei aortice (chirurgie). Repararea valvei aortice (chirurgie). Valvuloplastie cu balon (procedură intervențională). Adoptarea unei alimentații echilibrate (bogată în fructe, legume, cereale integrale, săracă în grăsimi saturate). Evitarea alimentelor bogate în sare și zaharuri adăugate. Menținerea unei greutăți corporale sănătoase. Exerciții fizice regulate. Renunțarea la fumat. Menținerea nivelurilor sănătoase de colesterol și tensiune arterială. Gestionarea stresului (ex. meditație, yoga). Controale medicale regulate. Tratarea corespunzătoare a afecțiunilor medicale existente (diabet, hipertensiune arterială)."
Calcifierile la sâni,"Monitorizare prin mamografii regulate (la 6 luni sau anual, în funcție de caz). Mamografii suplimentare cu mărire (raze X mărite). Compararea cu mamografii anterioare. Biopsie mamografică stereotactică (pentru calcifieri suspecte). Examinarea patologică a probelor de țesut. Obținerea unei a doua opinii medicale (alt radiolog)."
Calcinoza cutanata - Calcinosis cutis,"Tratarea cauzelor subiacente (când sunt identificate). Excizia chirurgicală (în caz de durere, infecție recurentă, ulcerație, afectare funcțională). Reducerea fosforului în dietă. Reducerea calciului în dietă. Dietă cetogenă."
Calvitia precoce,"Medicamente luate pe cale orală (adesea costisitoare și ineficiente conform textului). Transplantul de păr (adesea costisitor și ineficient conform textului). Schimbarea stilului de viaţă (în cazurile cauzate de stres sau dietă). Homeopatie. Acupunctură. Masajul scalpului cu uleiuri esenţiale. Tratament cu plasmă bogată în trombocite (PRP - recoltare sânge, procesare, reinjectare în scalp)."
Cancer colorectal ereditar,"Supraveghere periodică a persoanelor cu risc. Colonoscopie (pentru diagnostic și supraveghere, intervalul și vârsta de începere variază în funcție de sindrom: anual/la 2 ani de la 20-25 ani pentru Lynch; anual de la 10-15 ani pentru FAP; la 2-3 ani de la 18 ani pentru Peutz-Jeghers/Polipoză Juvenilă, sau anual dacă există polipi). Biopsie din leziunile suspecte. Tomografie computerizată (CT) / Imagistică prin rezonanță magnetică nucleară (RMN) pentru stadializare. Testare genetică pentru identificarea mutațiilor specifice (ex. gene MMR pentru Lynch, gena APC pentru FAP). Screening pentru cancer endometrial în sindromul Lynch (examinare pelvină și biopsie endometrială anual, de la 30-35 ani). Screening pentru cancer ovarian în sindromul Lynch (ecografie transvaginală anual, de la 30-35 ani). Endoscopie digestivă superioară (pentru supraveghere în sindromul Peutz-Jeghers și PAF). Tratamentul cancerului instalat urmează protocoalele standard pentru cancerul colorectal sporadic (implică chirurgie, chimioterapie, radioterapie - nespecificate detaliat în text)."
Cancer de hipofaringe,"Radioterapie. Tratament chirurgical (rezecția tumorii în limite oncologice). Procedee reconstructive post-chirurgicale. Corecția malnutriției și a dezechilibrelor electrolitice (ex. prin sondă nazogastrică). Radioterapie combinată cu chimioterapie și/sau chirurgie. Laringoscopie indirectă sau examinare endoscopică pentru diagnostic. Investigații imagistice (Tomografie Computerizată, Imagistică prin Rezonanță Magnetică, PET-CT, Radiografie toracică, Ecografie) pentru diagnostic și stadializare. Puncție biopsie și examen anatomopatologic pentru diagnostic de certitudine."
Cancer de intestin subțire,Tratament chirurgical (rezecție). Radioterapie (în general paliativă). Chimioterapie.
Cancer de nazofaringe,"Radioterapie (principala linie terapeutică, externă). Chimioterapie (în asociere cu radioterapia). Terapie țintită (cu anticorpi monoclonali). Tratament chirurgical (rar, pentru recidive sau rezecția adenopatiilor)."
Cancer de orofaringe,"Tratament chirurgical. Radioterapie. Tratament combinat (chirurgie, radioterapie, chimioterapie). Abstinența de la fumat și consumul de alcool. Endoscopie cu biopsie (pentru diagnostic și stadializare). Tomografie computerizată (CT) (pentru diagnostic și stadializare). Imagistică prin rezonanță magnetică (IRM) (pentru diagnostic și stadializare). Tomografie computerizată cu emisie de pozitroni (PET-CT) (pentru diagnostic și stadializare). Determinarea statusului HPV (pentru prognostic și plan de tratament). Monitorizare anuală pentru pacienții cu istoric de cancere ale capului și gâtului."
Cancer de penis,"Excizie limitată (pentru forme non-invazive/superficiale). Circumcizie (dacă tumora este limitată la prepuț și non-invazivă). Chirurgie Mohs. Crioterapie (pentru forme superficiale). Chirurgie laser (pentru forme superficiale). Electrocauterizare (pentru forme superficiale). Penectomie parțială (pentru tumori invazive). Penectomie totală cu ureterostomă (pentru tumori mari sau foarte invazive). Radioterapie (convențională sau brahiterapie, pentru tumori sub 4 cm). Limfadenectomie inghinală (pentru metastaze ganglionare). Terapie multimodală (pentru ganglioni limfatici fixați). Chimioterapie sistemică (în caz de metastaze ganglionare, pelvine sau la distanță). Puncție biopsie și examen histopatologic pentru diagnostic. Investigații imagistice (Ultrasonografie, IRM, CT, PET/CT) pentru stadializare."
Cancer de trahee,Radioterapie (preoperator sau postoperator/definitiv). Tratament chirurgical (pentru îndepărtarea tumorii). Bronhoscopie (pentru diagnostic și eventual biopsie). Tomografie computerizată (pentru diagnostic și stadializare). Esofagografie (în combinație cu CT pentru evaluarea invaziei esofagului).
Cancer de uretră,"Excizie locală (pentru tumori feminine distale, incipiente). Rezecție transuretrală (pentru tumori feminine distale, incipiente). Uretrectomie parțială (pentru tumori feminine distale, incipiente). Uretrectomie totală cu păstrarea vezicii urinare și montarea unui cateter (pentru tumori feminine mai grave). Rezecții ample (cistectomie) (pentru tumori feminine avansate/infiltrative). Radioterapie (pentru tumori superficiale, avansate sau preoperator). Penectomie parțială (pentru tumori masculine distale). Penectomie totală (pentru tumori masculine proximale). Tratament chirurgical. Urografie intravenoasă (pentru evaluarea hematuriei). Tomografie computerizată (pentru evidențierea tumorii și extensiei). Ureteroscopie cu biopsie. Imagistică prin rezonanță magnetică nucleară (IRM) (pentru stadializare preoperatorie și monitorizare)."
Cancer mamar triplu negativ,Exerciții fizice. Regim alimentar adecvat. Evitarea consumului de alcool. Dietă cu omega 3. Evitarea dietei Western. Prevenție adecvată. Diagnostic precoce.
Cancer rectal,"Rezecție chirurgicală radicală (principiul de bază al tratamentului curativ). Radioterapie (preoperatorie, intraoperatorie sau postoperatorie). Chimioterapie adjuvantă (postoperatorie, în special stadiul III). Chimioradioterapie (combinarea chimioterapiei cu radioterapia, adesea preoperatorie). Excizie transanală (pentru leziuni superficiale T1, selectate). Iradiere endocavitară (pentru leziuni mici, selectate). Microchirurgie endoscopică transanală (TEM) (pentru leziuni selectate, inclusiv cele localizate mai înalt). Rezecție anterioară joasă (procedură cu conservarea sfincterului, pentru tumori medii/superioare). Rezecție abdomino-perineală (cu colostomă permanentă, pentru tumori joase care implică sfincterul). Crearea unei colostomii sau ileostomii (temporară sau permanentă, în funcție de tipul operației). Rezecție hepatică (pentru tratamentul metastazelor hepatice selectate). Exenterație pelvină (pentru tratamentul recurențelor locale selectate). Tratament paliativ (ex: radioterapie pentru tumori nerezecabile). Screening pentru cancerul colorectal (Test hemocult, sigmoidoscopie, colonoscopie, clismă baritată)."
Cancer vezical,"Rezectia transuretrala a tumorii vezicale (TURBT). Electrocauterizare / Fulguratie laser a tumorii vezicale (pentru tumori mici, grad mic). Cistectomie radicala (inlaturarea vezicii urinare). Cistoprostectomie radicala (la barbati cu afectare prostatica/uretrala). Exenteratie pelvica anterioara (la femei). Diversiune urinara (conducte ileale, conducte colonice, Punga Indiana) dupa cistectomie. Radioterapie (combinata cu chimioterapia sau ca alternativa la chirurgie). Supraveghere medicala post-tratament (cistoscopii si citologii periodice). Dezinfectarea toaletei dupa instilatii cu BCG. Biopsie in timpul cistoscopiei. Citologie urinara. Urinoanaliza repetata. Urinocultura (pentru excluderea infectiei). Urografie computer tomografica. Radiografie pelvina. Echografie. Pielografie retrograda (daca exista alergie la contrast). Cistoscopie."
Cancer vulvar,"Chirurgie (terapie standard). Excizie locală largă (pentru leziuni mici, superficiale, stadiul IA). Vulvectomie parțială (pentru leziuni mai mari, unilaterale). Vulvectomie radicală (pentru leziuni extinse). Limfadenectomie inghinală (înlăturarea nodulilor limfatici inghinali). Limfadenectomie femurală (înlăturarea nodulilor limfatici femurali). Radioterapie (adjuvantă, în cazuri avansate sau recurente). Chimioterapie (în cazuri avansate, metastatice sau recurente). Biopsie (pentru diagnostic). Examinare periodică prin inspecție (pentru supraveghere post-tratament și detectarea recurențelor). Excizie locală repetată (pentru recurențe locale). Cistoscopie (evaluare pre-tratament). Proctoscopie (evaluare pre-tratament). Radiografii (evaluare pre-tratament)."
Cancerul hepatic - Hepatoblastomul,"Rezectia completă a tumorii (tratament curativ principal). Lobectomie hepatică. Transplant hepatic ortotopic (pentru tumori nerezecabile sau rezistente la chimioterapie). Chimioterapie (preoperatorie, postoperatorie/adjuvantă). Rezecția metastazelor pulmonare (toracotomie). Laparotomie (pentru evaluare sau rezecție secundară). Monitorizarea nivelului seric de alfa-fetoproteină (AFP) pentru diagnostic, răspuns la tratament și detecția recurenței. Monitorizare imagistică (Ultrasonografie, CT abdominal și toracic, Scanare osoasă la nevoie). Supraveghere pe termen lung a supraviețuitorilor pentru polipoză intestinală sau adenocarcinom. Monitorizare periodică (AFP, ecografie) la copiii cu risc crescut (ex: hepatită B cronică, sindrom Beckwith-Wiedemann). Evaluare audiologică înainte de terapia cu Cisplatin/Carboplatin. Ecocardiografie înainte de terapia cu Doxorubicină."
Cancere ocupaționale,Tratament multimodal (menționat pentru Mezoteliom malign). Prevenirea expunerii la agenți carcinogeni la locul de muncă. Supravegherea medicală a lucrătorilor expuși. Utilizarea testelor de screening pentru depistarea precoce a cancerului. Cistoscopie cu biopsie (diagnostic pentru cancerul de vezică urinară). Tomografie computerizată (diagnostic și stadializare pentru mezoteliom și cancer de vezică urinară).
Cancerele cavitatii orale,"Tratament chirurgical (extirparea tumorii primare, rezecție de maxilar/mandibulă, laringectomie, evidare cervicală). Chirurgie Mohs (pentru cancerul buzelor). Reconstrucție cu lambouri pediculate sau libere. Traheostomie (în caz de obstrucție respiratorie). Gastrostomă (pentru alimentare). Extracții dentare și implanturi (în contextul tratamentului). Radioterapie (externă sau brahiterapie). Chimioterapie (administrată oral sau endovenos, uneori combinată cu radioterapia). Terapie țintită (ex. cu Cetuximab). Renunțarea la fumat și reducerea consumului de alcool. Limitarea expunerii la radiațiile ultraviolete și utilizarea protecției solare. Asigurarea adaptării corecte a protezelor dentare. Menținerea unei diete alimentare sănătoase (bogată în fructe, legume, cereale integrale; evitarea cărnii procesate/roșii). Chimioprofilaxie (cu izotretinoin). Controale medicale regulate post-tratament. Corecția reflexului de înghițire și a vorbirii cu ajutorul unui logoped. Consult nutrițional/dietetic (în special pentru managementul efectelor secundare). Exerciții fizice adaptate pentru combaterea fatigabilității și îmbunătățirea stării generale. Tratament paliativ pentru ameliorarea simptomelor în stadii avansate sau rezistente la tratament."
Cancerul anal,Tratament chirurgical: rezecție locală. Tratament chirurgical: rezecție abdominoperineală cu colostomă. Radioterapie externă (transcutanată). Radioterapie internă (brahiterapie). Chimioterapie (adesea în asociere cu radioterapia - chimioradioterapie). Disecția nodulilor limfatici inghinali. Tratament paliativ (în stadiul IV). Evitarea infectării cu HPV sau HIV (prin folosirea prezervativului). Vaccinarea anti-HPV (Gardasil) înainte de începerea vieții sexuale.
Cancerul bucal (oral),"Excizia chirurgicală a tumorii. Radioterapie (ca tratament primar în stadii incipiente sau adjuvant post-chirurgical / în combinație cu chimioterapia). Terapie combinată (chirurgie + radioterapie +/- chimioterapie). Biopsie (pentru diagnostic). Disecția ganglionilor limfatici cervicali (dacă există metastaze). Reconstrucție chirurgicală post-excizie (grefe de piele, transfer de țesut liber, etc.). Reabilitare funcțională (logopedie, kinetoterapie). Tratament paliativ (pentru prelungirea vieții și controlul simptomelor în boala avansată). Control stomatologic riguros (înainte și după tratament, în special radioterapie). Renunțarea la fumat și consumul de alcool."
Cancerul colorectal,"Tratament chirurgical (rezecția tumorii cu margini de siguranță, disecție ganglionară loco-regională). Hemicolectomie dreaptă (pentru leziuni cecale, colon drept, unghi hepatic). Hemicolectomie stângă (pentru leziuni unghi splenic, colon stâng). Rezecție anterioară joasă (pentru leziuni sigmoidiene, cancer rectal). Radioterapie (preoperator în cancer rectal pentru a micșora tumora). Chimioterapie adjuvantă (în stadiul III). Rezecția metastazelor hepatice (unice sau grupate într-un singur lob). Supraveghere post-operatorie (colonoscopie la 3-6 luni, apoi la 1 an; ecografie/CT la 3-6 luni). Screening pentru populația la risc (peste 50 ani): test hemocult anual, markeri tumorali (CEA), sigmoidoscopie la 5 ani, colonoscopie la 10 ani, clismă baritată cu dublu contrast la 5 ani, colonoscopie virtuală la 5 ani. Menținerea unei diete sănătoase: consum de fructe și legume (fibre), suplimente de calciu, vitamine antioxidante (A, C, E), reducerea grăsimilor nesaturate, consum de uleiuri vegetale cu acizi omega 3, reducerea cărnii roșii, reducerea sării și a produselor afumate/sărate."
Cancerul de bont gastric,Monitorizarea pacienţilor prin endoscopii repetate cu biopsiere a mucoasei gastrice. Rezecţia completă a stomacului restant. Rezecţia staţiilor ganglionare (cel puţin pânâ la staţia D2). Tratament specific pentru cancerul gastric (nespecificat în detaliu în text).
Cancerul de col uterin,"Screening periodic (examen Papanicolau, colposcopie, cervicografie). Biopsie țintită colposcopic (pentru diagnostic și ghidarea tratamentului). Conizație (diagnostică și/sau terapeutică pentru leziuni preinvazive/incipiente). Tehnici de conizație: bisturiu rece, ansă diatermică (electroconizație), laser CO2. Excizia chirurgicală a polipilor cervicali. Tratamentul cervicitelor. Controlul colului uterin post-partum și suturarea leziunilor. Vaccinarea anti-HPV (preventiv). Menținerea unei diete echilibrate (posibil rol protector al Vitaminei C, beta-carotenului, acidului folic). Renunțarea la fumat. Practicarea sexului protejat și limitarea numărului de parteneri. Igiena sexuală corespunzătoare. Monitorizarea și tratamentul prompt al leziunilor precursoare (displazii/CIN). Consult ginecologic periodic."
Cancerul de colon,"Intervenție chirurgicală (rezecție curativă sau paleativă). Hemicolectomie dreaptă/stângă. Rezecție segmentară. Colectomie subtotală/totală. Proctocolectomie totală. Rezecție anterioară a rectului. Rezecție abdomino-perineală a rectului (cu colostomă). Excizie locală (pentru tumori rectale incipiente). Rezecția metastazelor hepatice (în cazuri selectate). Polipectomie endoscopică (pentru polipi adenomatoși/malignizați incipient). Radioterapie (în special pentru cancer rectal, preoperator sau postoperator). Chimioterapie (adjuvantă sau paleativă). Chimioterapie intraarterială hepatică (pentru metastaze). Terapie cu agenți biologici (țintită molecular). Stentare endoscopică (pentru obstrucții). Screening prin colonoscopie (începând cu vârsta de 50 de ani sau mai devreme la cei cu risc crescut). Test Hemocult (pentru detectarea sângerărilor oculte). Menținerea unui index de masă corporală normal. Activitate fizică regulată. Alimentație bogată în fibre vegetale, vitamine, calciu. Evitarea dietei bogate în grăsimi și carne roșie. Renunțarea la fumat."
Cancerul de laringe,"Radioterapia (iradiere externă). Chimioterapia (neo-adjuvantă, adjuvantă, concomitentă cu radioterapia, paliativă). Terapia biologică țintită (în stadiile III sau IV, când chimioterapia nu este posibilă). Tratamentul chirurgical: Rezecția endoscopică (cu laser sau instrumentar endoscopic). Tratamentul chirurgical: Stripping-ul corzilor vocale. Tratamentul chirurgical: Cordectomie. Tratamentul chirurgical: Laringectomia parțială (inclusiv hemilaringectomie). Tratamentul chirurgical: Laringectomia totală (cu traheostomă). Recuperarea vocală: Vorbirea esofagiană. Recuperarea vocală: Puncția traheo-esofagiană (cu valvă unidirecțională). Recuperarea vocală: Electrolaringe. Chemoprevenția (în curs de testare). Renunțarea la tutun. Renunțarea la alcool. Monitorizare post-tratament (examen clinic, laringoscopie, controale imagistice)."
Cancerul endometrial,"Tratament chirurgical: Histerectomie totală abdominală cu anexectomie bilaterală (salpingo-ooforectomie bilaterală). Limfadenectomie pelvină și/sau paraaortică (evaluarea și îndepărtarea ganglionilor limfatici). Radioterapie (externă și/sau brahiterapie): postoperatorie (adjuvantă), ca tratament unic (în cazuri inoperabile) sau pentru boală avansată/recurențe. Chimioterapie (pentru stadii avansate III-IV, boală recurentă sau risc înalt). Hormonoterapie (în special pentru boala avansată sau recurentă, cu receptori hormonali pozitivi). Chirurgie pentru tratamentul recurențelor (unde este posibilă rezecția). Monitorizare post-terapeutică regulată (controale ginecologice la 6 luni - 1 an). Biopsie endometrială pentru diagnostic. Histeroscopie pentru evaluarea cavității uterine și biopsie țintită. Ecografie transvaginală pentru evaluarea grosimii endometrului."
